Problem,Name,Format,Theme,Point Value,Mean Score,Median Score,Notes,Language Family,,
2025_R1_A ,Fox out of the Box,Rosetta,Syntax,10.00,,,,,,
2025_R1_B,Swidden in Plain Sight,,Morphology,10.00,,,,,,
2025_R1_C,Color Me Confused,,"Semantics, Morphology",15.00,,,,,,
2025_R1_D,Let’s Pivot!,Computational,Semantics,10.00,,,,,,
2025_R1_E,Around the World in Armenian,Matching,Writing System,15.00,,,,,,
2025_R1_F,Not Quite Right,Computational,,10.00,,,,,,
2025_R1_G,The Little Dog That Could Read,Rosetta,"Morphology, Syntax",15.00,,,,,,
2025_R1_H,There Is Another Hand,"Matching, Numbers",,15.00,,,,,,
2025_R2_I,A Handheld Tablet,Matching,Writing System,10.00,,,,,,
2025_R2_J,Nganasan Idol,Matching,Semantics,15.00,,,,,,
2025_R2_K,Going By the Numbers,Computational,Semantics,15.00,,,,,,
2025_R2_L,Whistle While You Work,,"Phonology, Tone",15.00,,,,,,
2025_R2_M,Relative Clauses,,"Syntax, Semantics",10.00,,,,,,
2025_R2_N,Something That Is Solved,Rosetta,"Morphology, Semantics",10.00,,,,,,
2025_R2_O,"I Speak, Therefore I Am",Matching,"Kinship, Semantics, Syntax",10.00,,,,,,
2025_R2_P,The Greatest Thing Since Boiled Breadfruit,Rosetta,"Morphology, Syntax, Semantics",15.00,,,,,,
2024_R1_A,Holy Roman Shorthand,,Writing System,10.00,69.56,74.42,,Latin,,
2024_R1_B,Finding Your Place in Warlpiri,Rosetta,"Morphology, Syntax",10.00,61.09,56.76,,Warlpiri,,
2024_R1_C,Happy Birthday!,Calendar,Semantics,10.00,78.15,87.18,,,,
2024_R1_D,Generally Speaking,Computational,Syntax,20.00,55.95,50.00,,,,
2024_R1_E,Japanese From Afar,,Writing System,10.00,65.49,90.32,,,,
2024_R1_F,Paiwan in Progress,,"Morphology, Phonology",10.00,18.11,11.11,Reduplication,,,
2024_R1_G,At a Loss for Words,Computational,,15.00,68.73,73.13,,,,
2024_R1_H,"Evidentially, My Dear Tariana",,Morphology,15.00,43.87,40.74,,,,
2024_R2_I,In the Scottish Highlands,Matching,Combination,5.00,77.24,100.00,,,,
2024_R2_J,"aLLMost, but not quite",Computational,,5.00,82.76,83.34,,,,
2024_R2_K,I Know a Szp?t,,"Morphology, Phonology, Semantics",10.00,26.40,23.19,,,,
2024_R2_L,Some Horses of Their Father,,"Morphology, Phonology, Syntax",15.00,16.33,13.00,,,,
2024_R2_M,Maonan Animals,Matching,Combination,10.00,2.80,0.00,,,,
2024_R2_N,A Trip Down Memory Lane,Computational,Syntax,10.00,53.73,60.13,,,,
2024_R2_O,Allow Me To Demonstrate,,"Morphology, Semantics",15.00,31.98,31.48,Demonstratives,,,
2024_R2_P,Stressed Out in Kilivila,,Stress/Tone,10.00,29.13,26.84,,,,
2024_R2_Q,From 1 to 276,Matching,Numbers,10.00,7.74,1.00,,,,
2024_R2_R,Follow the Rules,,Phonology,10.00,67.99,80.00,,,,
2023_R1_A,The Way We Were,Rosetta,Semantics,15.00,67.67,69.93,,,,
2023_R1_B,Don't Stress,,Stress/Tone,10.00,41.00,49.41,,,,
2023_R1_C,Vloxes,Computational,Semantics,15.00,36.13,25.58,,,,
2023_R1_D,For the Sake of Their House,,Morphology,10.00,48.65,47.92,,,,
2023_R1_E,Bengalese Finch Song,Computational,,5.00,80.74,84.62,,,,
2023_R1_F,A Calabash Calculation,Matching,Combination,15.00,12.81,3.45,,,,
2023_R1_G,Feathers of the Roseate Spoonbill,,Phonology,15.00,23.76,12.50,,,,
2023_R1_H,My Grandmother and I,,"Morphology, Semantics",15.00,36.75,37.47,,,,
2023_R2_I,Show That One for the People,,Phonology,5.00,83.80,83.34,,,,
2023_R2_J,Marshallese Phonoloji,,Phonology,15.00,21.55,8.11,,,,
2023_R2_K,Wordnet Battleship,Computational,Semantics,15.00,78.15,85.71,,,,
2023_R2_L,Camp Not-So-Pleasanthill,Computational,,10.00,54.05,51.85,,,,
2023_R2_M,Tongue Tied in Chukchi,,"Morphology, Semantics",15.00,27.93,24.04,,,,
