LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
o1,2021,A,A1,2,2,1.0000000000
o1,2021,A,A2,3,3,1.0000000000
o1,2021,B,B1,0,8,0.0000000000
o1,2021,B,B2,0,1,0.0000000000
o1,2021,B,B3,0,1,0.0000000000
o1,2021,B,B4,0,1,0.0000000000
o1,2021,C,C1,5,15,0.3333333333
o1,2021,C,C2,1,1,1.0000000000
o1,2021,C,C3,0.5,3,0.1666666667
o1,2021,C,C4,0,3,0.0000000000
o1,2021,D,D1,0,12,0.0000000000
o1,2021,D,D2,0,2,0.0000000000
o1,2021,D,D3,1,1,1.0000000000
o1,2021,D,D4,0,1,0.0000000000
o1,2021,D,D6,0,1,0.0000000000
o1,2021,E,E1,2,22,0.0909090909
o1,2021,E,E2,0,1,0.0000000000
o1,2021,F,F1,0,1,0.0000000000
o1,2021,F,F2,4,6,0.6666666667
o1,2021,G,G1,4,18,0.2222222222
o1,2021,G,G2,0,2,0.0000000000
o1,2021,G,G3,0,3,0.0000000000
o1,2021,H,H1,0,11,0.0000000000
o1,2021,H,H2,0,3,0.0000000000
o1,2021,H,H3,0,5,0.0000000000
o1,2021,I,I1,5,12,0.4166666667
o1,2021,I,I2,0,3,0.0000000000
o1,2021,I,I3,0,1,0.0000000000
o1,2021,J,J1,1,7,0.1428571429
o1,2021,J,J2,0,6,0.0000000000
o1,2021,J,J3,0,6,0.0000000000
o1,2021,J,J4,0,2,0.0000000000
o1,2021,K,K1,1,26,0.0384615385
o1,2021,K,K2,0,1,0.0000000000
o1,2021,L,L1,2,12,0.1666666667
o1,2021,L,L2,0,5,0.0000000000
o1,2021,L,L3,0,2,0.0000000000
o1,2021,L,L4,0,1,0.0000000000
o1,2021,M,M1,0,4,0.0000000000
o1,2021,M,M2,0,4,0.0000000000
o1,2021,M,M3,0,1,0.0000000000
o1,2021,N,N1,0.5,17,0.0294117647
o1,2021,O,O1,2,16,0.1250000000
o1,2021,O,O2,2,4,0.5000000000
o1,2021,O,O3,0,1,0.0000000000
o1,2021,P,P1,1,6,0.1666666667
o1,2021,P,P2,0,4,0.0000000000
o1,2021,Q,Q1,1,5,0.2000000000
o1,2021,Q,Q2,0,1,0.0000000000
o1,2021,Q,Q3,12,30,0.4000000000
o1,2021,Q,Q4,0,1,0.0000000000
o1,2021,R,R1,0,11,0.0000000000
o1,2021,R,R2,0,10,0.0000000000
o1,2021,R,R3,0,2,0.0000000000
o1,2021,R,R4,0,2,0.0000000000
o1,2021,S,S1,0,3,0.0000000000
o1,2021,S,S2,0,3,0.0000000000
