Year,Problem,Task,Type,Notes
2016,A,A1,Production,Translate English sentences into Malay
2016,B,B1,Recognition,Deduce English words the DAWG was meant to recognize
2016,B,B2,Recognition,Calculate minimum number of letter squares needed
2016,C,C1,Production,Write correct forms of erroneous Estonian words
2016,C,C2,Production,Fill in missing Estonian case forms (generate forms)
2016,D,D1,Recognition,Match each person to their Cebuano food/drink from fixed list
2016,E,E1,Recognition,Translate Huli number expressions to Arabic numerals
2016,E,E2,Recognition,Translate Huli consecutive numbers to Arabic numerals
2016,E,E3,Production,Write Arabic numerals in Huli (generate Huli number words)
2016,F,F1,Recognition,Match Hittite word forms to English translations
2016,F,F2,Recognition,Match Hittite suffixes to grammatical roles
2016,G,G1,Recognition,Match English concept labels to Cistercian Sign Language words
2016,G,G2,Production,Translate English words into Cistercian Sign Language notation
2016,H,H1,Recognition,Classify sentences as unigram/bigram/trigram/context-free/real
2016,I,I1,Production,Fill in missing Slovenian derived forms in table
2016,I,I2,Production,Give possible Slovenian base words for rožič
2016,I,I3,Production,Give possible Slovenian base words for čolnič
2016,J,J1,Recognition,Select correct edumacated form from provided options A-G
2016,J,J2,Production,Generate novel edumacated (infixed) forms for new words
2016,J,J3,Recognition,Explain in English why respondents hesitate on two-syllable words
2016,K,K1,Production,Shade in word-representation graph for the word "is"
2016,K,K2,Recognition,Match mystery word graphs to definitions from provided list
2016,K,K3,Recognition,Explain in English why a graph differs from expected
2016,L,L1,Recognition,Order five stenotype transcript pieces into correct sequence
2016,L,L2,Recognition,Decode stenotype lines into English dialogue
2016,L,L3,Recognition,Explain stenotype decoding system in English
2016,M,M1,Recognition,Order Tocharian language stages chronologically with sound-change rules
2016,M,M2,Recognition,Deduce and explain ordering of all 17 sound changes
2016,N,N1,Recognition,Match Hungarian sentences to English translations from list
2016,N,N2,Recognition,Explain matching answers in English
2016,O,O1,Recognition,Translate Nung sentences into English
2016,O,O2,Production,Translate English sentences into Nung
2016,P,P1,Production,Write Horn clause rules/facts to generate English verb-embedding sentences
2016,P,P2,Production,Write Horn clause rules/facts to generate Swiss German sentences
2016,Q,Q1,Recognition,Transliterate Javanese script words into Latin script
2016,Q,Q2,Production,Write Latin-script Javanese words in Javanese script
2016,Q,Q3,Recognition,Explain the Javanese script system in English
2016,R,R1,Production,Fill in missing Somali 1st/3rd-person singular past-tense verb forms
2017,A,A1,Production,Translate English words and sentences into Tshiluba
2017,A,A2,Recognition,Determine what the word 'bantu' means (answer is English)
2017,A,A3,Recognition,Translate Tshiluba sentences into English
2017,B,B1,Recognition,Match Vietnamese dish names to English descriptions
2017,C,C1,Recognition,Fill in crossword with English internet-laughter words matching regex clues
2017,C,C2,Recognition,Write shortest English word matching each given regex
2017,D,D1,Recognition,Match Tavla dice-roll names to numeric outcomes
2017,D,D2,Recognition,Identify numeric outcomes for given Tavla names
2017,E,E1,Recognition,Match Tamil train station names to English equivalents
2017,F,F1,Recognition,Write rule label/state sequences to generate English number words
2017,F,F2,Recognition,Determine whether strings can be generated by the network (Y/N)
2017,F,F3,Production,Write new transition network rules in formal notation to fix a misspelling
2017,G,G1,Recognition,Fill in missing digits in Yup'ik magic square
2017,G,G2,Production,Write a number in Yup'ik
2017,H,H1,Recognition,Complete neural-network translation of Rigelese words into English letters
2017,I,I1,Recognition,Match Basque sentences to English translations
2017,I,I2,Recognition,Translate Basque sentences into English
2017,I,I3,Production,Translate English sentences into Basque
2017,I,I4,Recognition,Explain reasoning behind translations in English
2017,J,J1,Recognition,Match Norwegian sentences to English translations
2017,J,J2,Production,Translate English sentences into Norwegian
2017,J,J3,Recognition,Translate Norwegian sentences into English
2017,J,J4,Recognition,Explain reasoning in English
2017,K,K1,Production,Identify repeating pattern and write a new sentence following it
