Year,Question_ID,Problem_Name,Categories,Point_Value,Mean_Score,Median_Score
2025,A,Fox out of the Box,"Rosetta, Syntax",10,,
2025,B,Swidden in Plain Sight,Morphology,10,,
2025,C,Color Me Confused,"Semantics, Morphology",15,,
2025,D,Lets Pivot!,"Computational: Application, Semantics",10,,
2025,E,Around the World in Armenian,"Matching, Writing System",15,,
2025,F,Not Quite Right,Computational: Application,10,,
2025,G,The Little Dog That Could Read,"Rosetta, Morphology, Syntax",15,,
2025,H,There Is Another Hand,"Matching, Numbers",15,,
2025,I,A Handheld Tablet,"Matching, Writing System",10,,
2025,J,Nganasan Idol,"Matching, Semantics",15,,
2025,K,Going By the Numbers,"Computational: Discovery, Computational: Application, Semantics",15,,
2025,L,Whistle While You Work,"Phonology, Tone",15,,
2025,M,Relative Clauses,"Syntax, Semantics",10,,
2025,N,Something That Is Solved,"Rosetta, Morphology, Semantics",10,,
2025,O,"I Speak, Therefore I Am","Matching, Kinship, Semantics, Syntax",10,,
2025,P,The Greatest Thing Since Boiled Breadfruit,"Rosetta, Morphology, Syntax, Semantics",15,,
2024,A,Holy Roman Shorthand,Writing System,10,69.56,74.42
2024,B,Finding Your Place in Warlpiri,"Rosetta, Morphology, Syntax",10,61.09,56.76
2024,C,Happy Birthday!,Semantics,10,78.15,87.18
2024,D,Generally Speaking,"Computational: Application, Syntax",20,55.95,50
2024,E,Japanese From Afar,Writing System,10,65.49,90.32
2024,F,Paiwan in Progress,"Morphology, Phonology",10,18.11,11.11
2024,G,At a Loss for Words,Computational: Application,15,68.73,73.13
2024,H,"Evidentially, My Dear Tariana",Morphology,15,43.87,40.74
2024,I,In the Scottish Highlands,Matching,5,77.24,100
2024,J,"aLLMost, but not quite",Computational: Application,5,82.76,83.34
2024,K,I Know a Szp?t,"Morphology, Phonology, Semantics",10,26.4,23.19
2024,L,Some Horses of Their Father,"Morphology, Phonology, Syntax",15,16.33,13
2024,M,Maonan Animals,Matching,10,2.8,0
2024,N,A Trip Down Memory Lane,"Computational: Discovery, Computational: Application, Syntax",10,53.73,60.13
2024,O,Allow Me To Demonstrate,"Morphology, Semantics",15,31.98,31.48
2024,P,Stressed Out in Kilivila,"Stress, Tone",10,29.13,26.84
2024,Q,From 1 to 276,"Matching, Numbers",10,7.74,1
2024,R,Follow the Rules,Phonology,10,67.99,80
2023,A,The Way We Were,"Rosetta, Semantics",15,67.67,69.93
2023,B,Don't Stress,"Stress, Tone",10,41,49.41
2023,C,Vloxes,"Computational: Application, Semantics",15,36.13,25.58
2023,D,For the Sake of Their House,Morphology,10,48.65,47.92
2023,E,Bengalese Finch Song,Computational: Application,5,80.74,84.62
2023,F,A Calabash Calculation,Matching,15,12.81,3.45
2023,G,Feathers of the Roseate Spoonbill,Phonology,15,23.76,12.5
2023,H,My Grandmother and I,"Morphology, Semantics",15,36.75,37.47
2023,I,Show That One for the People,Phonology,5,83.8,83.34
2023,J,Marshallese Phonoloji,Phonology,15,21.55,8.11
2023,K,Wordnet Battleship,"Computational: Application, Semantics",15,78.15,85.71
2023,L,Camp Not-So-Pleasanthill,Computational: Application,10,54.05,51.85
2023,M,Tongue Tied in Chukchi,"Morphology, Semantics",15,27.93,24.04
2023,N,A Saharan Sensation,Writing System,10,44.09,17.39
2023,O,Tone's Puzzle,Tone,10,48.05,51
2023,P,Counting in Roon,Numbers,15,19.23,4.2
2023,Q,What to Wear,"Rosetta, Syntax, Semantics",5,73.8,94.52
2022,A,Lines in the Sand,Writing System,10,37.45,33.33
2022,B,Who Saw the Bear?,"Rosetta, Syntax, Semantics",10,84.56,100
2022,C,To Make a Long Story Short,"Computational: Discovery, Computational: Application",15,58.34,76.19
2022,D,Real Numbers,Numbers,10,22.22,6.25
2022,E,Sleeping in the Shade,"Matching, Rosetta, Syntax, Semantics",10,32.07,17.98
2022,F,Splash to Save,"Rosetta, Syntax, Semantics",10,45.03,51.26
2022,G,Out of Order,Computational: Application,5,62.6,71.42
2022,H,From Soup to Nuts,"Rosetta, Syntax, Semantics",15,6.73,0
2022,I,A Cornish Conundrum,"Morphology, Semantics",15,26.06,29.41
2022,J,Sounds Fishy,Phonology,5,84.22,86.36
2022,K,A Tough Word to Swallow,Matching,15,32.26,19.35
2022,L,Stopping for a Spell,Computational: Application,5,95.64,100
2022,M,A Splitting Disagreement,Computational: Application,10,52.1,54.32
2022,N,Pseudorandom Numbers,Morphology,15,28.53,30.5
2022,O,Seeing the Future,"Rosetta, Semantics",10,45.77,46.43
2022,P,Yumology,Computational: Application,15,22.95,18.75
2022,Q,Relatively Speaking,"Rosetta, Syntax, Semantics",15,21.79,14.71
2022,R,I Stop Being Afraid of This Problem,Phonology,10,13.71,10
2021,A,The Tortoise and the Rabbit,"Rosetta, Syntax, Semantics",10,,
2021,B,Junk Mail: Letters We Don't Need,Computational: Application,10,,
2021,C,Versatile Verb,"Matching, Rosetta, Syntax, Semantics",10,,
2021,D,Made You Look!,Computational: Application,10,,
2021,E,The Script of Your Dreams,Writing System,15,,
2021,F,The Wiles of Reptiles,"Rosetta, Syntax, Semantics",15,,
2021,G,The Skates of Wrath,"Matching, Rosetta",15,,
2021,H,Sequitur,Computational: Application,5,,
2021,I,Non Sequitur,"Computational: Discovery, Computational: Application",10,,
2021,J,A Vintage Sound System,Phonology,10,6597%,7436%
2021,K,Putting a Place to a Name,"Matching, Writing System",5,69.48,85.72
2021,L,Is This Problem Intelligible?,"Matching, Rosetta, Morphology, Syntax",10,50.84,56.42
2021,M,The Speech Has No End,"Rosetta, Morphology, Semantics, Syntax",15,29.8,32.85
2021,N,Do I Care about Duikers?,"Morphology, Phonology",10,16.16,16.18
2021,O,Cameroonian Compounds,Matching,10,36.46,27.27
2021,P,Family Ties,Kinship,10,36.55,18
2021,Q,A Stress Test,"Computational: Discovery, Stress, Tone",10,63.67,77.78
2021,R,GloVe Compartment,"Computational: Discovery, Computational: Application, Semantics",5,19.28,13.88
2021,S,Peace Only,"Rosetta, Morphology, Syntax",15,16.47,0.83
2020,A,Let That Mongo!,"Morphology, Phonology",5,,
2020,B,A Cat in a Hat,"Matching, Rosetta, Syntax",15,,
2020,C,Set in Stone,"Matching, Writing System",20,,
2020,D,Pay Attention,"Computational: Application, Semantics",10,,
2020,E,Breton Numbers,Numbers,15,,
2020,F,Coming into Focus,"Rosetta, Morphology, Syntax, Semantics",15,,
2020,G,Password Confusion,"Computational: Application, Semantics",10,,
2020,H,The Idalion Tablet,Writing System,10,,
2020,I,"Kãa, Kai, and Khai","Matching, Rosetta",10,76.49,85.3
2020,J,You Made Me See,"Rosetta, Morphology, Syntax",15,31.81,32.33
2020,K,The Pimpled Toad,Writing System,10,37.5,10
2020,L,Shiva Sutras,Phonology,5,54.68,55.6
2020,M,Adjupectiheaval!,"Computational: Application, Semantics",10,22.92,4.3
2020,N,You Cant Handle the Truth,"Computational: Discovery, Computational: Application, Semantics",5,52.72,61.2
2020,O,Were Counting on Yoruba,Numbers,10,54.62,63
2020,P,Doubling Up on Nakanai,Phonology,10,28.44,26.47
2020,Q,Cut to the Chase,"Computational: Application, Syntax",10,19.09,4.5
2020,R,The Obviative Solution,Morphology,10,27.72,22.7
2019,A,Malteaser,Morphology,10,48.16,50
2019,B,"You Speak Ndebele, Don't You?","Rosetta, Morphology, Syntax",15,49.49,52.27
2019,C,Here is One Hand,"Matching, Numbers",10,33.77,16.67
2019,D,Predicate Etiquette,"Computational: Application, Semantics",15,56.23,70.59
2019,E,Hate It or Lopit,"Rosetta, Morphology, Syntax",10,10.9,0
2019,F,Harmongolia,Morphology,10,42.3,41.37
2019,G,Break it Down!,"Computational: Application, Matching, Semantics",5,39.78,84.84
2019,H,Can you know/Hanunó'o,Writing System,15,19.22,0
2019,I,The Afrihili Word Machine,"Morphology, Semantics",5,65.22,72.22
2019,J,Polish These Nouns!,Phonology,10,37.12,35.71
2019,K,Two Róngs Don't Make a Right,"Matching, Writing System",10,42.51,14.71
2019,L,We Were Born to Solve This Problem,Morphology,15,36.78,32.25
2019,M,Colorless Green Concepts Scripting Furiously,Computational: Application,10,49.42,50
2019,N,Fun With Witsuwit'en,"Matching, Syntax",15,5.9,3.45
2019,O,Infer a Surprise,"Computational: Discovery, Semantics",5,28.15,50
2019,P,Do You Hear the Master's Moon,"Rosetta, Morphology, Syntax",15,5.61,0
2019,Q,A Tale of Kieu-plets,"Stress, Tone",10,31.77,17.14
2019,R,Disambiguate This!,"Computational: Discovery, Semantics",5,56.08,65.18
2018,A,At Ease in Gilbertese,"Rosetta, Morphology, Syntax",10,,
2018,B,The Pame Game,Numbers,20,,
2018,C,All Roads Lead to Tirana,"Matching, Syntax",20,,
