LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gemini-2.5-pro,2023,A,A1,8,8,1.0000000000
gemini-2.5-pro,2023,A,A2,3,4,0.7500000000
gemini-2.5-pro,2023,A,A3,6,6,1.0000000000
gemini-2.5-pro,2023,A,A4,6,6,1.0000000000
gemini-2.5-pro,2023,B,B1,5,5,1.0000000000
gemini-2.5-pro,2023,C,C1,0,9,0.0000000000
gemini-2.5-pro,2023,C,C2,0,1,0.0000000000
gemini-2.5-pro,2023,D,D1,4,4,1.0000000000
gemini-2.5-pro,2023,D,D2,0,4,0.0000000000
gemini-2.5-pro,2023,E,E1,6,6,1.0000000000
gemini-2.5-pro,2023,E,E2,1,1,1.0000000000
gemini-2.5-pro,2023,E,E3,2,2,1.0000000000
gemini-2.5-pro,2023,E,E4,0,1,0.0000000000
gemini-2.5-pro,2023,F,F1,3,21,0.1428571429
gemini-2.5-pro,2023,F,F2,1,4,0.2500000000
gemini-2.5-pro,2023,G,G1,3,3,1.0000000000
gemini-2.5-pro,2023,G,G2,2,3,0.6666666667
gemini-2.5-pro,2023,G,G3,1,1,1.0000000000
gemini-2.5-pro,2023,H,H1,6,6,1.0000000000
gemini-2.5-pro,2023,H,H2,5,6,0.8333333333
gemini-2.5-pro,2023,H,H3,1,1,1.0000000000
gemini-2.5-pro,2023,H,H4,2,2,1.0000000000
gemini-2.5-pro,2023,H,H5,1,1,1.0000000000
gemini-2.5-pro,2023,I,I1,5,6,0.8333333333
gemini-2.5-pro,2023,J,J1,1,5,0.2000000000
gemini-2.5-pro,2023,K,K1,2,2,1.0000000000
gemini-2.5-pro,2023,K,K2,3,3,1.0000000000
gemini-2.5-pro,2023,K,K3,20,22,0.9090909091
gemini-2.5-pro,2023,L,L1,1,1,1.0000000000
gemini-2.5-pro,2023,L,L2,0,3,0.0000000000
gemini-2.5-pro,2023,L,L3,0.5,3,0.1666666667
gemini-2.5-pro,2023,M,M1,2.5,4,0.6250000000
gemini-2.5-pro,2023,M,M2,2.5,5,0.5000000000
gemini-2.5-pro,2023,N,N1,1,12,0.0833333333
gemini-2.5-pro,2023,N,N2,0,4,0.0000000000
gemini-2.5-pro,2023,O,O1,3,8,0.3750000000
gemini-2.5-pro,2023,O,O2,0,3,0.0000000000
gemini-2.5-pro,2023,O,O3,0,6,0.0000000000
gemini-2.5-pro,2023,P,P1,9,18,0.5000000000
gemini-2.5-pro,2023,Q,Q1,8,8,1.0000000000
