LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
opus,2021,A,A1,1.0,2,0.5
opus,2021,A,A2,1.0,3,0.333333
opus,2021,B,B1,0.0,8,0.0
opus,2021,B,B2,0.0,1,0.0
opus,2021,B,B3,0.0,1,0.0
opus,2021,B,B4,0.0,1,0.0
opus,2021,C,C1,3.0,15,0.2
opus,2021,C,C2,1.0,1,1.0
opus,2021,C,C3,0.0,3,0.0
opus,2021,C,C4,0.0,3,0.0
opus,2021,D,D1,2.0,12,0.166667
opus,2021,D,D2,0.0,2,0.0
opus,2021,D,D3,1.0,1,1.0
opus,2021,D,D4,0.0,1,0.0
opus,2021,D,D6,0.0,1,0.0
opus,2021,E,E1,2.0,22,0.090909
opus,2021,E,E2,0.0,1,0.0
opus,2021,F,F1,0.0,1,0.0
opus,2021,F,F2,3.0,6,0.5
opus,2021,G,G1,2.0,18,0.111111
opus,2021,G,G2,0.0,2,0.0
opus,2021,G,G3,0.0,3,0.0
opus,2021,H,H1,3.0,11,0.272727
opus,2021,H,H2,3.0,3,1.0
opus,2021,H,H3,2.0,5,0.4
opus,2021,I,I1,5.0,12,0.416667
opus,2021,I,I2,2.0,3,0.666667
opus,2021,I,I3,0.5,1,0.5
opus,2021,J,J1,2.5,7,0.357143
opus,2021,J,J2,2.0,6,0.333333
opus,2021,J,J3,1.0,6,0.1667
opus,2021,J,J4,1.0,2,0.5
opus,2021,K,K1,1.0,26,0.038462
opus,2021,K,K2,0.0,1,0.0
opus,2021,L,L1,1.0,12,0.083333
opus,2021,L,L2,0.0,5,0.0
opus,2021,L,L3,0.0,2,0.0
opus,2021,L,L4,0.0,1,0.0
opus,2021,M,M1,0.0,4,0.0
opus,2021,M,M2,1.0,4,0.25
opus,2021,M,M3,0.0,1,0.0
opus,2021,N,N1,1.0,17,0.058824
opus,2021,O,O1,1.0,16,0.0625
opus,2021,O,O2,1.0,4,0.25
opus,2021,O,O3,0.0,1,0.0
opus,2021,P,P1,0.0,6,0.0
opus,2021,P,P2,0.0,4,0.0
opus,2021,Q,Q1,4.0,5,0.8
opus,2021,Q,Q2,1.0,1,1.0
opus,2021,Q,Q3,27.0,30,0.9
opus,2021,Q,Q4,0.5,1,0.5
opus,2021,R,R1,1.0,11,0.090909
opus,2021,R,R2,1.0,10,0.1
opus,2021,R,R3,0.5,2,0.25
opus,2021,R,R4,0.0,2,0.0
opus,2021,S,S1,0.0,3,0.0
opus,2021,S,S2,0.0,3,0.0
