Model,Question_ID,Score,Points,Total Points
Claude Opus,2016A,80.0,4.0,5.0
Claude Sonnet 4.5,2016A,60.0,3.0,5.0
GPT-4o,2016A,70.0,3.5,5.0
GPT-5,2016A,100.0,5.0,5.0
Gemini 2.5 Flash,2016A,60.0,3.0,5.0
Gemini 2.5 Pro,2016A,80.0,4.0,5.0
Grok,2016A,80.0,4.0,5.0
O1,2016A,70.0,3.5,5.0
Claude Opus,2016B,11.1111,1.1111,10.0
Claude Sonnet 4.5,2016B,27.7778,2.7778,10.0
GPT-4o,2016B,0.0,0.0,10.0
GPT-5,2016B,44.4444,4.4444,10.0
Gemini 2.5 Flash,2016B,22.2222,2.2222,10.0
Gemini 2.5 Pro,2016B,0.0,0.0,10.0
Grok,2016B,5.5556,0.5556,10.0
O1,2016B,11.1111,1.1111,10.0
Claude Opus,2016C,75.0,3.75,5.0
Claude Sonnet 4.5,2016C,75.0,3.75,5.0
GPT-4o,2016C,0.0,0.0,5.0
GPT-5,2016C,87.5,4.375,5.0
Gemini 2.5 Flash,2016C,75.0,3.75,5.0
Gemini 2.5 Pro,2016C,75.0,3.75,5.0
Grok,2016C,37.5,1.875,5.0
O1,2016C,81.25,4.0625,5.0
Claude Opus,2016D,0.0,0.0,15.0
Claude Sonnet 4.5,2016D,0.0,0.0,15.0
GPT-4o,2016D,0.0,0.0,15.0
GPT-5,2016D,12.5,1.875,15.0
Gemini 2.5 Flash,2016D,0.0,0.0,15.0
Gemini 2.5 Pro,2016D,0.0,0.0,15.0
Grok,2016D,0.0,0.0,15.0
O1,2016D,25.0,3.75,15.0
Claude Opus,2016E,4.7619,0.4762,10.0
Claude Sonnet 4.5,2016E,28.5714,2.8571,10.0
GPT-4o,2016E,4.7619,0.4762,10.0
GPT-5,2016E,0.0,0.0,10.0
Gemini 2.5 Flash,2016E,14.2857,1.4286,10.0
Gemini 2.5 Pro,2016E,33.3333,3.3333,10.0
Grok,2016E,9.5238,0.9524,10.0
O1,2016E,4.7619,0.4762,10.0
Claude Opus,2016F,100.0,15.0,15.0
Claude Sonnet 4.5,2016F,100.0,15.0,15.0
GPT-4o,2016F,0.0,0.0,15.0
GPT-5,2016F,100.0,15.0,15.0
Gemini 2.5 Flash,2016F,100.0,15.0,15.0
Gemini 2.5 Pro,2016F,100.0,15.0,15.0
Grok,2016F,50.0,7.5,15.0
O1,2016F,100.0,15.0,15.0
Claude Sonnet 4.5,2016G,3.7037,0.7407,20.0
GPT-4o,2016G,0.0,0.0,20.0
GPT-5,2016G,3.7037,0.7407,20.0
Gemini 2.5 Flash,2016G,7.4074,1.4815,20.0
Gemini 2.5 Pro,2016G,7.4074,1.4815,20.0
Grok,2016G,0.0,0.0,20.0
O1,2016G,7.4074,1.4815,20.0
Claude Opus,2016H,75.0,7.5,10.0
Claude Sonnet 4.5,2016H,58.3333,5.8333,10.0
GPT-4o,2016H,41.6667,4.1667,10.0
GPT-5,2016H,75.0,7.5,10.0
Gemini 2.5 Flash,2016H,66.6667,6.6667,10.0
Gemini 2.5 Pro,2016H,75.0,7.5,10.0
Grok,2016H,50.0,5.0,10.0
