LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gemini-2.5-flash,2020,A,A1,8,14,0.5714285714
gemini-2.5-flash,2020,A,A2,17,19,0.8947368421
gemini-2.5-flash,2020,B,B1,12,16,0.7500000000
gemini-2.5-flash,2020,B,B2,0,4,0.0000000000
gemini-2.5-flash,2020,B,B3,0.5,3,0.1666666667
gemini-2.5-flash,2020,C,C1,3,26,0.1153846154
gemini-2.5-flash,2020,D,D1,2,7,0.2857142857
gemini-2.5-flash,2020,D,D2,0,9,0.0000000000
gemini-2.5-flash,2020,E,E1,4,4,1.0000000000
gemini-2.5-flash,2020,E,E2,1,1,1.0000000000
gemini-2.5-flash,2020,E,E3,1,1,1.0000000000
gemini-2.5-flash,2020,F,F1,1.5,3,0.5000000000
gemini-2.5-flash,2020,F,F2,1,6,0.1666666667
gemini-2.5-flash,2020,G,G1,1,12,0.0833333333
gemini-2.5-flash,2020,G,G2,1,6,0.1666666667
gemini-2.5-flash,2020,H,H1,0,4,0.0000000000
gemini-2.5-flash,2020,H,H2,0,3,0.0000000000
gemini-2.5-flash,2020,I,I1,20,20,1.0000000000
gemini-2.5-flash,2020,I,I2,1,3,0.3333333333
gemini-2.5-flash,2020,I,I3,1,1,1.0000000000
gemini-2.5-flash,2020,J,J1,1.5,3,0.5000000000
gemini-2.5-flash,2020,J,J2,1.5,3,0.5000000000
gemini-2.5-flash,2020,K,K1,1,17,0.0588235294
gemini-2.5-flash,2020,K,K2,0,1,0.0000000000
gemini-2.5-flash,2020,L,L1,3,3,1.0000000000
gemini-2.5-flash,2020,L,L2,3,3,1.0000000000
gemini-2.5-flash,2020,L,L3,0.5,1,0.5000000000
gemini-2.5-flash,2020,L,L4,1,1,1.0000000000
gemini-2.5-flash,2020,L,L5,3,3,1.0000000000
gemini-2.5-flash,2020,L,L6,3,3,1.0000000000
gemini-2.5-flash,2020,M,M1,1,1,1.0000000000
gemini-2.5-flash,2020,M,M2,4,6,0.6666666667
gemini-2.5-flash,2020,M,M3,1,4,0.2500000000
gemini-2.5-flash,2020,N,N1,0.5,1,0.5000000000
gemini-2.5-flash,2020,N,N2,0,1,0.0000000000
gemini-2.5-flash,2020,N,N3,0,5,0.0000000000
gemini-2.5-flash,2020,O,O1,5,5,1.0000000000
gemini-2.5-flash,2020,O,O2,3.5,5,0.7000000000
gemini-2.5-flash,2020,P,P1,2,17,0.1176470588
gemini-2.5-flash,2020,Q,Q1,4,7,0.5714285714
gemini-2.5-flash,2020,Q,Q2,0,1,0.0000000000
gemini-2.5-flash,2020,Q,Q3,1,11,0.0909090909
gemini-2.5-flash,2020,R,R1,10,22,0.4545454545
