LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
claude_sonnet45,2022,A,A1,1,3,0.3333333333
claude_sonnet45,2022,A,A2,2,5,0.4000000000
claude_sonnet45,2022,A,A3,0,1,0.0000000000
claude_sonnet45,2022,B,B1,2,2,1.0000000000
claude_sonnet45,2022,B,B2,3,3,1.0000000000
claude_sonnet45,2022,C,C1,9,11,0.8181818182
claude_sonnet45,2022,C,C2,7,16,0.4375000000
claude_sonnet45,2022,C,C3,2,3,0.6666666667
claude_sonnet45,2022,C,C4,3,3,1.0000000000
claude_sonnet45,2022,C,C5,1,3,0.3333333333
claude_sonnet45,2022,C,C6,1,1,1.0000000000
claude_sonnet45,2022,E,E1,0,19,0.0000000000
claude_sonnet45,2022,E,E2,0,2,0.0000000000
claude_sonnet45,2022,E,E3,0,4,0.0000000000
claude_sonnet45,2022,E,E4,0,4,0.0000000000
claude_sonnet45,2022,E,E5,0,1,0.0000000000
claude_sonnet45,2022,E,E6,0,1,0.0000000000
claude_sonnet45,2022,E,E7,0,1,0.0000000000
claude_sonnet45,2022,F,F1,6,6,1.0000000000
claude_sonnet45,2022,F,F2,3,5,0.6000000000
claude_sonnet45,2022,F,F3,3,4,0.7500000000
claude_sonnet45,2022,F,F4,0,1,0.0000000000
claude_sonnet45,2022,G,G1,0,1,0.0000000000
claude_sonnet45,2022,G,G2,1,1,1.0000000000
claude_sonnet45,2022,G,G3,1,1,1.0000000000
claude_sonnet45,2022,G,G4,1,1,1.0000000000
claude_sonnet45,2022,G,G5,1,1,1.0000000000
claude_sonnet45,2022,H,H1,0,1,0.0000000000
claude_sonnet45,2022,H,H2,0,1,0.0000000000
claude_sonnet45,2022,H,H3,3,7,0.4285714286
claude_sonnet45,2022,H,H4,0,1,0.0000000000
claude_sonnet45,2022,H,H5,1,1,1.0000000000
claude_sonnet45,2022,H,H6,1,1,1.0000000000
claude_sonnet45,2022,I,I1,9,20,0.4500000000
claude_sonnet45,2022,I,I2,2,6,0.3333333333
claude_sonnet45,2022,I,I3,1,1,1.0000000000
claude_sonnet45,2022,J,J1,1,7,0.1428571429
claude_sonnet45,2022,J,J2,2,2,1.0000000000
claude_sonnet45,2022,K,K1,0,23,0.0000000000
claude_sonnet45,2022,K,K2,0,2,0.0000000000
claude_sonnet45,2022,K,K3,0,2,0.0000000000
claude_sonnet45,2022,L,L1,2,4,0.5000000000
claude_sonnet45,2022,L,L2,1,1,1.0000000000
claude_sonnet45,2022,L,L3,0,2,0.0000000000
claude_sonnet45,2022,L,L4,1,6,0.1666666667
claude_sonnet45,2022,L,L5,0,1,0.0000000000
claude_sonnet45,2022,M,M1,1,3,0.3333333333
claude_sonnet45,2022,M,M2,0,1,0.0000000000
claude_sonnet45,2022,M,M3,1.5,2,0.7500000000
claude_sonnet45,2022,N,N1,2,2,1.0000000000
claude_sonnet45,2022,N,N2,2,8,0.2500000000
claude_sonnet45,2022,N,N3,0,10,0.0000000000
claude_sonnet45,2022,O,O1,3,5,0.6000000000
claude_sonnet45,2022,P,P1,0,2,0.0000000000
claude_sonnet45,2022,P,P2,3,3,1.0000000000
claude_sonnet45,2022,P,P3,0,1,0.0000000000
claude_sonnet45,2022,P,P4,1,5,0.2000000000
claude_sonnet45,2022,P,P5,3,6,0.5000000000
claude_sonnet45,2022,P,P6,0,1,0.0000000000
claude_sonnet45,2022,P,P7,0.5,4,0.1250000000
claude_sonnet45,2022,Q,Q1,0,3,0.0000000000
claude_sonnet45,2022,Q,Q2,2,4,0.5000000000
claude_sonnet45,2022,R,R1,2.5,8,0.3125000000
claude_sonnet45,2022,R,R2,2.5,6,0.4166666667
claude_sonnet45,2022,R,R3,1,7,0.1428571429
