LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gpt4o,2025,A,A1,0,6,0.0000000000
gpt4o,2025,B,B1,0,3,0.0000000000
gpt4o,2025,B,B2,0,6,0.0000000000
gpt4o,2025,B,B3,0,2,0.0000000000
gpt4o,2025,C,C1,0,8,0.0000000000
gpt4o,2025,C,C2,1,6,0.1666666667
gpt4o,2025,C,C3,0,3,0.0000000000
gpt4o,2025,D,D1,0,2,0.0000000000
gpt4o,2025,D,D2,1,3,0.3333333333
gpt4o,2025,D,D3,0,6,0.0000000000
gpt4o,2025,E,E1,0,15,0.0000000000
gpt4o,2025,E,E2,0,2,0.0000000000
gpt4o,2025,E,E3,0,4,0.0000000000
gpt4o,2025,F,F1,0,7,0.0000000000
gpt4o,2025,F,F2,0,5,0.0000000000
gpt4o,2025,F,F3,1,3,0.3333333333
gpt4o,2025,G,G1,0,3,0.0000000000
gpt4o,2025,G,G2,0,6,0.0000000000
gpt4o,2025,G,G3,0,5,0.0000000000
gpt4o,2025,H,H1,1,9,0.1111111111
gpt4o,2025,H,H2,1,7,0.1428571429
gpt4o,2025,H,H3,6,6,1.0000000000
gpt4o,2025,I,I1,1,19,0.0526315789
gpt4o,2025,I,I2,0,1,0.0000000000
gpt4o,2025,I,I3,0,2,0.0000000000
gpt4o,2025,J,J1,1,16,0.0625000000
gpt4o,2025,J,J2,0,3,0.0000000000
gpt4o,2025,J,J3,0,2,0.0000000000
gpt4o,2025,J,J4,0,1,0.0000000000
gpt4o,2025,K,K1,1,1,1.0000000000
gpt4o,2025,K,K2,0,1,0.0000000000
gpt4o,2025,K,K3,0,8,0.0000000000
gpt4o,2025,K,K4,2,3,0.6666666667
gpt4o,2025,L,L1,0,11,0.0000000000
gpt4o,2025,L,L2,0,1,0.0000000000
gpt4o,2025,M,M1,0,3,0.0000000000
gpt4o,2025,M,M2,0,2,0.0000000000
gpt4o,2025,M,M3,0,2,0.0000000000
gpt4o,2025,N,N1,0,17,0.0000000000
gpt4o,2025,N,N2,2,4,0.5000000000
gpt4o,2025,O,O1,0,4,0.0000000000
gpt4o,2025,O,O2,0,7,0.0000000000
gpt4o,2025,O,O3,0,7,0.0000000000
gpt4o,2025,O,O4,0,1,0.0000000000
gpt4o,2025,O,O5,0,1,0.0000000000
gpt4o,2025,O,O6,0,5,0.0000000000
gpt4o,2025,O,O7,0,1,0.0000000000
gpt4o,2025,P,P1,0,3,0.0000000000
gpt4o,2025,P,P2,0,3,0.0000000000
